,text,label
0,The Bank of England should maintain the stock of purchased assets financed by the issuance of central bank reserves at £375 billion.,£375
1,The Bank of England should maintain the stock of asset purchases financed by the issuance of central bank reserves at £375 billion.,£375
2,The Bank of England should maintain the stock of asset purchases financed by the issuance of central bank reserves at £325 billion.,£325
3,"The Committee voted unanimously to maintain the stock of sterling non-financial investment-grade corporate bond purchases, financed by the issuance of central bank reserves, at £10 billion.",
4," Adam Posen voted against the proposition, preferring to increase the size of the asset purchase programme by £50 billion to a total of £250 billion.",
5,"The Governor, David Miles and Adam Posen preferred to increase the size of the asset purchase programme by £50 billion to a total of £375 billion.",
6,"Adam Posen voted against the proposition, preferring to increase the size of the asset purchase programme by £50 billion to a total of £250 billion.",
7,Paul Fisher preferred to increase the size of the asset purchase programme by £25 billion to a total of £350 billion.,
8,"The Governor invited the Committee to vote on the proposition that it should continue with the programme, as agreed at the March meeting and announced on 5 March, of asset purchases totalling £75 billion financed by issuance of central bank reserves.",£75
9,The Bank of England should maintain the stock of asset purchases financed by the issuance of central bank reserves at £200 billion.,£200
10,"The Committee also voted unanimously to maintain the stock of UK government bond purchases, financed by the issuance of central bank reserves, at £435 billion.",£435
